Module Node.js,Numéro de version,Dernière version,Date de dernière mise à jour,Téléchargements total,Critique
axios,1.4.0,1.4.0,2023-04-27T23:05:52.716Z,45.210.225,non
bcrypt,5.0.1,5.1.1,2023-08-16T03:48:51.540Z,1.180.634,non
body-parser,1.20.2,1.20.2,2023-02-23T22:01:16.032Z,33.780.897,non
cookie-parser,1.4.4,1.4.6,2021-11-16T17:32:19.335Z,,non
cors,2.8.5,2.8.5,2018-11-04T21:00:13.277Z,,oui
crypto,1.0.1,1.0.1,2017-08-10T22:43:43.500Z,,oui
debug,2.6.9,4.3.4,2022-03-17T13:38:47.641Z,,non
express,4.18.2,4.18.2,2022-10-08T20:14:32.495Z,,non
express-validator,7.0.1,7.0.1,2023-04-16T08:31:54.507Z,,non
http-errors,1.6.3,2.0.0,2021-12-18T03:30:42.140Z,,non
i18n,0.15.1,0.15.1,2022-09-22T18:00:50.692Z,,non
jsonwebtoken,9.0.0,9.0.1,2023-07-05T15:59:53.505Z,,non
morgan,1.9.1,1.10.0,2020-03-20T18:00:13.316Z,,oui
node-cron,3.0.2,2022-08-15T13:42:20.144Z,,,
pg,8.11.0,8.11.3,2023-08-16T23:50:24.848Z,,non
pg-promise,11.5.0,11.5.3,2023-08-02T12:30:24.713Z,,non 
